Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,reviews
,Couple Leisure,Economy Class,Tokyo to London,March 2019,2.0,3.0,1.0,3.0,2,no,2.0,,"✅ Trip Verified | On the flight to Tokyo, I was separated from my wife even though it was our honeymoon. Thanks. The return felt like a 12 hour easyJet flight. One meal and one half meal. Limited drinks. Very small seats. I’m 5 foot 9 and my knees touched the seat in front. Very, very mediocre."
Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver ,March 2019,3.0,5.0,4.0,4.0,4,yes,4.0,,"✅ Trip Verified |  London to Vancouver. Check in agent very helpful in searching out seat options. Very smooth process. The disappointment was the receptionist at the Galleries Lounge at T3 who was rude and unhelpful. All was redeemed once on board. The crew were excellent throughout the flight in the best British Airways tradition - friendly, helpful and attentive. Food not great but on a par with economy in other airlines. Wines better than many airlines. The aircraft was clean and reasonably well maintained for an older 747-400. IFE selection good."
Boeing 777,Solo Leisure,First Class,London to Mumbai ,March 2019,4.0,5.0,2.0,4.0,4,yes,3.0,,"✅ Trip Verified | The First Class zone at Heathrow T5 and the Concorde Lounge are very good. Service on board was excellent in both directions. The cabin layout is unimpressive and the food is nothing to write home about. The screen is small, with poor resolution. I enjoyed the flights in both directions, mainly because of the service. This First does not compare well with that of Middle Eastern and Asian airlines, but BA business class is so poor, I either fly economy or (when I am very lucky) try to fly First."
Boeing 777,Business,First Class,London to Chicago ,March 2019,2.0,2.0,1.0,2.0,2,no,1.0,,✅ Trip Verified |  I had a miserable experience in first class from London to Chicago. I had requested a special meal but that was not available. When I complained to customer relations they simply said too bad and insulted me by offering 10 K miles. The bathroom lacked amenities and i found the service was barebones. The angled suite is not private and when i stretched my feet hit a metal band in the middle of the foot rest. Video screen is small and must be stowed away 20 min before landing. Cabin crew never asked what I wanted and were only available when you press the call button. In flight entertainment is poor. 
,Solo Leisure,Economy Class,Leeds Bradford to Las Vegas via Heathrow,September 2018,3.0,5.0,3.0,5.0,3,yes,4.0,,✅ Trip Verified |  Leeds Bradford to Las Vegas via Heathrow. Customer services handling of my question never answered it. Three times I asked them to explain why the cost of my one checked bag caused the fare to increase over £100 on the outbound flight. This was before any increase other than the increase announced for the short LBA LHR fare. I asked why the fare was so much when I could have booked a seat for the bag for about £50. The response was we are doing what everyone else is doing. They never could explain why the fare increased by over £100 when I indicated one checked bag. I asked to speak with someone but that was never responded to. Book LHR LAS at that time and one bag included. Customer service apparently did not understand what I was asking because the answer provided was non-responsive. 
,Solo Leisure,First Class,Dallas to London Heathrow,March 2019,2.0,1.0,3.0,3.0,1,no,3.0,,"✅ Trip Verified |  Dallas to London Heathrow in First Class. This is the worst experience I have had on a flight. The crew was indifferent and unresponsive, and treated you more like you were a nuisance to them. There was even less service from this so called first class crew than you get in tourist class in most airlines. The attitude and service of the crew was abysmal. When you have average food and wine on offer and a rather outdated cabin in first class, at least you should prioritize service as your competitive advantage to your full paying customers. This was nothing but a waste of money. I doubt very much I will go back to British Airways again."
,Couple Leisure,Economy Class,Tenerife to Heathrow,March 2019,1.0,4.0,1.0,2.0,1,no,,,"✅ Trip Verified |  Tenerife to Heathrow. Effectively a budget airline masquerading at premium airline prices. Have flown several budget airlines in the past which have offered far more in terms of value for money and service. Seats are rigid and I felt as if I was leaning forward for the the majority of the flight. When I tried to put my seat back to recline, I estimate it moved around 5 degrees. Leg room is also non existent. M&S food ran out halfway through the 5 hour flight and although cabin crew were apologetic, for food to run out during a lunchtime flight is inexcusable and highlights how badly the airline is being managed by the upper echelons. Furthermore, several other budget airlines at the airport had flights leaving directly from the terminal requiring no bussing of passengers. BA again in a move to save money opt for bussing passengers to the far reaches of the airport to avoid paying extra charges for utilising direct access from airport terminals. Can't fault the staff onboard who are clearly dedicated to the BA brand. They are professional, friendly and courteous. It's clear that British Airways are not the airline they once were and I hope that passengers begin to vote with their feet as drastic changes are needed to bring the airline back to its former glory."
A320,Business,Economy Class,London Heathrow to Larnaca Cyprus,March 2019,2.0,3.0,1.0,1.0,1,no,,,"✅ Trip Verified | Heathrow to Larnaca - departed on time, flight nearly full. M&S food available to passengers ran out while cabin crew were half way down the aisle. Larnaca to Heathrow - two messages received while in Larnaca airport - the flight would be delayed by over an hour-departure was supposed to be at 7.15 pm but we took off nearer to 9 pm. The second message was that there was no food to be served on the flight, ""we recognise that this does not meet with the standards you expect from us"". The flight was 5 hours long-so this combination of a delayed departure and no food available on board is totally unacceptable - worse than a budget airline. A midnight arrival at Heathrow was then compounded by off loading cargo before the passengers because of a ""balance problem"". In addition I was incorrectly charged Eur 75 on the return leg for my case - it was clearly the same case that I travlled out to Cyprus with but the system identified it as extra baggage. Cattle class is an under rated description of the service offered to customers. The only saving grace was the cabin crew-particularly the Customer Service Manager-who promised to follow up the baggage issue and logged my complaint. It will take ages to resolve but he was helpful and pleasant throughout. How British Airways can offer such a poor product and expect people to keep flying with them is beyond me."
Boeing 787,Couple Leisure,Business Class,Los Angeles to London,March 2019,4.0,5.0,5.0,4.0,5,yes,5.0,,"✅ Trip Verified |  Los Angeles to London. A very enjoyable and comfortable flight on the new recliner seat set up on the 787. BA have raised their game and provides a superior seat to make for a relaxed flight . If you are travelling solo a retractable divider gives you privacy from your neighbour. Only problem is the 2x3x2 layout is one too many seats across, as it leaves two very narrow gangways; if you have an aisle seat in the ""turn right"" section in Business Class you will be constantly whacked unintentionally(?) by Economy section passengers with their carry-ons when boarding. Food and drinks were excellent, with courses served separately and the wine bottle frequently produced by flight attendants who gave a great service to their passengers. Entertainment choice also excellent with a film choice for everyone. Thanks also to two people most of us forget - the flight crew who got us safely to Heathrow 15 minutes early and put the plane down so gently we hardly noticed we had arrived! Well done BA for providing such a good product and service."
,Solo Leisure,Economy Class,London to Phoenix,March 2019,2.0,5.0,5.0,1.0,2,no,5.0,,"✅ Trip Verified |  London to Phoenix, BA289 yesterday. The plane was supposed to land at 1835. However, it landed at 1940. Because of this I missed my connecting flight to Ontario, California aboard American Airlines. By the time I was able to go through custom and pick up my luggage, it was already 2030. The flight departs at 2037. I went to the ground crew of American Airlines, they told me that I will not be able to make it to my connecting flight as they are already on the runway. They then directed me to British Airways. I went to the ground attendant of British Airways and she told me to go back to American Airlines to get it re booked. I went back to American Airlines then they told me again to back to British Airways since they are they the one who caused the delay. I went back to British Airways with the American Airlines supervisor. The British Airways attendant gave me a card with the customer service number and told me to call them in the morning. She did not offer any explanations or anything. American Airlines said we can re booked it for tomorrow morning but they did not offer any accommodation. I ended up getting my own car rental and drove from Phoenix to California in the middle of the night since I was not able to resolve this issues with both airlines."
,Business,Business Class,San Francisco to London,April 2018,,,,,1,no,,,"✅ Trip Verified |  San Francisco to London. After paying £4000 for flights which I had to cancel, they wouldn't allow any change of dates or change of name, and after all that wouldn't give me the  Avios points because I wont be on the flight."
A321,Solo Leisure,Economy Class,Rome to London,March 2019,5.0,4.0,1.0,5.0,5,yes,,,"✅ Trip Verified |  Rome to London. One of the best European airlines to travel with for short haul flights. The online website is very clear and easy to use. Check-in procedure was smooth. The gate was very close to the shopping area. Boarding the flight was very well organised and quick and through the airbridge. The only negative aspect is that you will need to pay for a drink, as they don’t serve anything free on all European routes."
A319,Business,Economy Class,Cologne to Gatwick,March 2019,3.0,2.0,,1.0,2,no,,,"✅ Trip Verified |  Cologne to Gatwick in economy class with an silver status BA card. No online check-in available.  BA website suggests passenger to arrive at the airport 3 hours before flight departure but airport check-in (the only available option) starts 2 hours before departure. No lounge available (there is a lounge in the terminal open to other airline customers, except BA). No priority boarding for Business and elite level passengers. Boarding the plane by bus. Not even free water on board in economy."
Boeing 777,Couple Leisure,Economy Class,Tampa to Gatwick,March 2019,2.0,2.0,2.0,1.0,1,no,2.0,,"✅ Trip Verified |  Tampa to Gatwick. I paid to have my seats bumped up to business class and when I got to the airport they wouldn't let me on the flight because someone on their side messed up when they booked my seats, so instead of honoring my seats they just sat there for an hour telling me they can't do anything and I can't get on the plane. They waited till the very last second before the check in period closed to reissue my tickets and won't reimburse me for the seats that I paid for, but never received. "
A320,Business,Economy Class,London Heathrow to Madrid ,March 2019,5.0,5.0,,5.0,5,yes,,,"✅ Trip Verified | London Heathrow to Madrid. I travel from LHR regularly. British Airways have proved to be reliable and their service is of good quality. As a frequent traveler, I've been able to use the priority boarding and also managed to get exit row seats. This airline is very good with providing tangible benefits to silver members. The lounge at Heathrow Terminal 5 is also very good and provides a good selection of food and refreshments. The bar is very well stocked and also a good selection of soft drinks available. I'm very happy with the airline service and would definitely recommend British Airways. Keep it up guys."
Boeing 777,Couple Leisure,Business Class,Gatwick to St Lucia,February 2019,2.0,1.0,1.0,3.0,1,no,1.0,1.0,"✅ Trip Verified |  Gatwick to St Lucia return. Recently returned from a two week holiday with my wife in Caribbean for a 60th birthday celebration. Tickets bought in August 2018 and decided to spoil ourselves with a Club Class return, having flown out Premium Economy. Arrived at airport to be told that we'd been downgraded to Premium Economy due to overbooking. Apologetic ground staff (defending the indefensible) but no apology on the plane. Fuming all the way back to London, exacerbated by hopeless cabin staff service (tea when I asked for coffee) and filthy food. Complained on return through BA exec Club webiste with response from Customer Service 10 days later. BA claims that overbooking is a very rare occurrence and gave a lukewarm apology. Evidence from ground staff on both journeys contradicts this and it seems to be a standard occurrence during peak season. We booked early so probably had relatively cheap seats. BA has presumably made money by selling our tickets to a higher bidder. General quality of BA service, food and wine has fallen dramatically over the last few years. BA is now effectively a low cost airline, flying a fleet of very tired aircraft, trying to preserve the gloss of a quality airline. The accountants may win in the short term but passengers will vote with their feet. Avoid this airline if you possible can. And the final insult in booking premium seats with BA is that you get charge £40 to pre reserve in Club and £70 in Premium Economy. BA, you are having a laugh with the flying public. On this performance you don't deserve to stay in business."
Boeing 777,Business,Economy Class,London to Austin,February 2019,4.0,5.0,3.0,5.0,4,yes,4.0,,"✅ Trip Verified |  It's been many years since I flew long haul British Airways and I was pleasantly surprised by recent flights. BA staff used to be offhand and inhospitable but that's all changed. From the time of arriving at London Heathrow T5 the staff have been really friendly and helpful. Similarly on the flight, the attendants couldn't do enough for me. When I requested tomato juice with Worcester sauce, the attendant made a special trip to the rear to get it. On the way back I asked for a tonic water and, again, they offered to go and get it. The seating of these newer planes allows me knee room, even though I'm 6ft 3ins and the headrest can be slid up high enough too. The entertainment system, though a little quirky in its operation and menu system compared to the slickness of Cathay Pacific, nevertheless had a good range of movies and TV to watch. Both flights ended up arriving on time, despite delays at Heathrow both ways, and the pilots kept us cheerfully informed as what was going on. Food quality was reasonable, again not up to the standard of Cathay Pacific, rather let down by a filled croissant for breakfast which I thought was a bit mean. Overall a very pleasant flight, thanks BA. Is this because competition is hotting up and BA now have to try harder?"
A320,Family Leisure,Business Class,London to Pisa,March 2019,1.0,4.0,2.0,3.0,1,no,,,"✅ Trip Verified | 
London Heathrow / Pisa return. My wife and I fly this route 3-4 times a year as we have a home in Tuscany. Sometimes we pay in long advance to get a decent price, or we pay using Avios. This return trip was the latter. It is what it is. The most miserable rip off for a business class seat in the world. I have seen last minute flights on this route as high as £700 return. BA should be ashamed of themselves. The only reason we fly this product is that you get the business class lounges in both directions. The seating is at the front of the plane for a speedy exit. The new meals are quite good and the free (is it really free?) booze. The seats are the biggest con. Three seats for two - with a dumb table in the middle. Unless you are in the front row the leg room is a disaster. On the way out we had a nice tomato and mozzarella salad + wine. On the way back - a ploughman's lunch, it was okay-ish. As a 60 year old businessman, one who has worked globally in my career in the US, Japan and the Middle East - and having sold my business a few years ago, to one of the largest PLCs in the country - I think I know a bit about running companies. I know I could do a lot better than the current board at BA. Last week when I was away, I read that BA have posted well in excess of one billion profits last year. Oh, what a surprise and that's the clear objective of the directors. So what would I do with Club Europe? I'd make it the best in Europe. The seat would be larger, like an arm chair. A 2+2 configuration. There would be a nice centre table. Charge ports for phones/laptops. Headsets. TV screens mainly for news - but some movies for flights over 2 hours. Extra 6"" of leg room behind row ""1"". Nice cutlery and glass/china ware. Hot meals. And i'd probably sell it at £25 a flight more. ""Build value guys"" and the profits will follow. Its the oldest dictum in the book. I will give credit where credit is due. On the way back, on the ground, the Captain announced there was possible a technical problem with the starboard aileron. As an aviation buff I loseley understood the problem and figured it was not really a big deal. Clearly some passengers were worried we were on a duff plane. He picked up on that and took the initiative to take a relaxed walk, the length of plane, asking if anyone had concerns or questions. One or two did and he answered their concerns in a calm and thoughtful way and explained he was only taking a precautionary measure. Very nice chap. We took off 2 hours later when it was fixed and everything was fine. FAs in both directions were very good."
B777,Couple Leisure,Economy Class,Edinburgh to Boston via London,March 2019,1.0,2.0,1.0,1.0,1,no,1.0,,✅ Trip Verified | Edinburgh to Boston via London. The planes are ancient and need to be replaced. If these were cars they would have an antique plate. The seats are uncomfortable and worn. There is no lumbar support. The space between the seatback in front and your face is inches. It’s really claustrophobic. The food is awful and last evening we were not offered a choice. So for $1200 each we had horrible seats and terrible food. The short connecting flights do not even offer bottled water. The M&S menu is expensive and offers limited choices. Meal deals in the airport convenience and drug stores offer much better options for less than half the price. The planes on both long legs of the trip last week were filthy. The cabin crew on the BOS to LHR and LHR to EDI were good. There was one member in the LHR to BOS who was snippy to passengers and seemed put out by needing to do her job. Boarding is supposed to be by group but was a disaster as people queued up well before their section was called and it made it extremely difficult to get to board. British Airways has become like a budget airline who does not charge budget pricing.
Boeing 777,Couple Leisure,Economy Class,Gatwick to Mauritius,February 2019,1.0,3.0,2.0,2.0,2,no,1.0,,"✅ Trip Verified |  Gatwick to Mauritius. My wife and 2 friends booked and paid £56 each to select our seats with additional legroom adjacent to the bassinet stowage. On boarding the flight the configuration of the aircraft differed, meaning we had the same seat row and number but without the additional legroom. My formal complaint to BA has been met with what can only be described as condescending platitudes and a blank refusal to refund our seat booking fee. We feel that this a scam and are continuing to pursue the matter. Trading standards are also being informed. It didn’t help the aircraft was delayed by 4 hours on the outward leg, was filthy dirty. The return flight had numerous IFE defects and my seat recline did not work. I also noted a number of cabin minor airworthiness issues, (I am a licensed engineer). A marketing email in celebration of 100 years of service has thanked me for flying hundreds of thousands of miles with BA and then rips me off with nothing in return. British Airways you are a disgrace, get your act together and provide the service you were once famed for."
,Family Leisure,Economy Class,Heathrow to New York,February 2019,4.0,5.0,5.0,5.0,5,yes,3.0,,"Not Verified |  Flew out of Heathrow on 22nd Feb to New York, 20 mins into our flight and we noticed our Tv's weren't working (4 travellers) but I have to say the cabin crew managed to reset them and they we were working within the hour. The reason for reviewing this is how wonderful the crew were. The crew on this flight were amazing, nothing was too much trouble. Thank you to all involved on that flight."
,Solo Leisure,Economy Class,Gatwick to Cape Town,February 2019,1.0,4.0,1.0,4.0,3,no,1.0,,"✅ Trip Verified |  Horrible flight BA from Gatwick to Cape Town and Iberia on the return. I am only 5'2"" 8st 10 and I find the leg room too cramp. The onboard flight entertainment system was down on the BA flight most of the time. It was probably in the last 2 hours of the flight before they managed to fix it and the system was old fashioned and movies were streamed on a loop. The food was barely edible. Coming back on Iberia the entertainment system was better and the food was also better but the seats legroom was just as bad. I was almost bumped off my connecting flight at MAD due to the lockers being filled up. I had another connection to make at LHR and I was not going to miss that so I had to insist they let me on though loads of other passengers were led off. This was the worst flight I have flown on. Last long haul BA flight for me."
,Business,Business Class,New York to Venice via London,February 2019,1.0,2.0,1.0,1.0,1,no,4.0,2.0,"✅ Trip Verified |  New York to Venice via London. Staff have been nice when around but aircraft, food, assistance and information all deplorable. Booked Business class. First flight, overnight from JFK to Heathrow - quick, mediocre food service then gone. Chair is set up so I’m staring at a stranger, it’s uncomfortable and difficult to maneuver with no instructions. Didn’t wake me for breakfast, not sure why they had me fill in a form for when I wanted to be woken up. No instructions for the transition between BA flights. Now I’m on the flight from Heathrow to Venice, no offer of coffee, water but worse, business class is just coach class, no extra leg room, just 3 seats with the middle one blocked out. Person in front of me put their seat back and my knees are in my chest. I didn’t pay for international business class to get stuck in uncomfortable seats for 2 long flights. I won’t fly BA again. "
B747-400,Business,Business Class,Chicago to London Heathrow,February 2019,1.0,1.0,1.0,1.0,1,no,1.0,1.0,"✅ Trip Verified |  Chicago to London Heathrow. Club Class on British Airways is without doubt the worst in the airline industry.  It is bad enough that BA persist using out of date airplanes, circa 25 year old B747-400's, but they perpetuate the dreadful ying/yang seating arrangement of Club Class, where you have to look directly at the passenger next to you, and raise a screen for privacy. Then, mid-flight the crew lower the screen to serve the food. To leave the seat, one has to climb over the legs of a sleeping passenger;~no mean feat in the dark. The crew from Chicago were appalling, and dumped the food upon us as quickly as possible. Breakfast was inedible, and I returned it uneaten. The lounge at O'Hare was a crowded, tiny, dirty facility, with a food bar including some wilted vegetables and crackers with cheese. Insufficient chairs, and a single, old TV. Does no one at BA care how BAD they have become for premium class passengers."
Boeing 747-400,Business,First Class,London to Chicago,February 2019,1.0,2.0,1.0,1.0,1,no,1.0,1.0,"✅ Trip Verified |  London to Chicago. Could it get any worse? The flight to Chicago was equipped with the usual ancient Boeing 747-400. The British Airways First Class product doesn't come up to modern Business Class standards. This particular flight was late again, and the food / wine was simply awful. There is nothing remotely elegant about BA First Class, and the crew demonstrate no sophistication. This experience was like dining at your worst restaurant chain. Finally, not only is the aircraft tired and worn out, but the in flight so-called entertainment system did not work, and had to be rebooted twice. The First Class seat is a bad joke, and extraordinarily uncomfortable. British Airways are at least twenty years out of date with their entire First Class product. All that can be said about this airline is woeful. The Concorde First Class lounge at Heathrow is filthy dirty, and desperately needs refurbishment."
,Family Leisure,Economy Class,Prague to London Heathrow,February 2019,3.0,1.0,,3.0,2,no,,,"✅ Trip Verified |  Prague to London Heathrow. Very disappointing service. Cabin crew only managed to offer drinks to half the cabin, on a two hour flight that was already delayed - payment machine was broken, staff ran backwards and forwards as nothing seemed available on the trolley. On the bright said, I did save by not having to pay the over inflated prices."
,Solo Leisure,Economy Class,London City to Florence,February 2019,,,,1.0,2,no,,,"✅ Trip Verified |  London City to Florence. My flight was at around 7am in the morning. Not only it got canceled 3 hours before but at the moment there was no phone line open to call and manage a rebooking. On their site I had the option to reschedule my flight but I couldn’t select any flights on the same day. Interestingly i was able to find & book another one through Skyscanner again with BA at the day of my initial flight with £100 more, of course. Why couldn’t they simple show me this flight on the reschedule page? "
A380,Business,Business Class,London to Johannesburg,December 2018,2.0,1.0,1.0,4.0,1,no,3.0,,"✅ Trip Verified |  London to Johannesburg. Since the aircraft was half full, I was looking for a great flight. We left on time, and that was the only positive point. I started watching a movie, and a young flight attendant  approached and asked for my dinner choice. I told her that I would love a G&T to start with, and then I will read the menu. She told me that this was a late evening departure (9pm is not late for me) and that no pre-dinner drinks would be served. I insisted (this is business class after all, half full flight). 30 minutes later, she brought a tray with everything on it (G&T, first dish, main dish, and dessert).  Never was I offered wine or coffee. The lights were turned off, and I did not see a flight attendant until 1:30 hours before landing.  Other passengers in business where treated the same and complained."
Boeing 787-9,Business,Economy Class,Doha to London Heathrow,February 2019,3.0,3.0,3.0,3.0,3,yes,2.0,2.0,"✅ Trip Verified |  Doha to London Heathrow. Flight on time, not completely full, had an aisle seat near back of plane without the entertainment box in the way. Some reviews say that the last few windows are blanked off at rear of the aircraft but not so on this plane. Breakfast was served which was OK. Cabin crew mixed, mostly young and worked quickly. Crew uniform still looks a bit tatty compared with rivals in this part of the world. There is good and bad still with BA - bad was the so called chicken wrap served just before arrival - leathery and inedible - why do they let themselves down with such a poor offering - hardly any passengers near me could eat it. Bad was that there was an old tissue and food wrapper in my seat pocket. Good was the newer aircraft and the breakfast has improved. Arrived on time at Heathrow but to a remote stand."
,Solo Leisure,Premium Economy,Miami to Tel Aviv via London,October 2018,5.0,5.0,5.0,5.0,5,yes,5.0,5.0,"✅ Trip Verified |  Miami to Tel Aviv via London. At Miami airport on October 2018 what a pleasure was dealing with the agent, so professional, nice and helpful to the every last detail. Now on February 2019 calling British Airways to redeem my Avios what another pleasure dealing with a patient, knowledgeable and nice agent. She explained everything in such detail. You are doing great with such fantastic employees. "
Boeing 787-9,Business,Premium Economy,London to Seoul,February 2019,5.0,4.0,3.0,2.0,4,yes,3.0,,"✅ Trip Verified |  London to Seoul. I normally fly business but this was a last minute flight and the cost of Club was prohibitive and so I thought I would give World Traveller Plus a go. The cabin is stylish and intimate and I was surprised how roomy and comfortable the seats were. The entertainment system was working well (although the adverts before every single showing are very annoying). I was happy with the headphones and small amenity kit and felt the staff were very welcoming. My only complaint was the slightly pointless menu we were given as for lunch neither of the meals listed were actually available. A similar thing happened with breakfast, three options, the third being the most appetizing, and no, it hadn't been loaded, so this is an area BA might want to look into. All in all the service was good and worth the price. For ground service BA, please at least keep a couple of desks for people to check into before automation puts us all out of work."
Boeing 747-400,Family Leisure,Premium Economy,London to New York JFK,February 2019,4.0,5.0,4.0,5.0,4,yes,5.0,3.0,"✅ Trip Verified |  London Heathrow to New York JFK. Bag drop did not go well. Lounge (galleries north ) was good and not crowded. Boarding was fine, small delay, well organised. Pre take off drink was better than the one i got in club world 2 weeks previous. Main meal good, pre flight snack was average but my son really liked it. On time arrival, a good flight. Cabin crew included some of the older staff who are not mixed fleet crew and it stands out a mile. I thought this was a good flight."
,Couple Leisure,Business Class,San Diego to London,February 2019,4.0,1.0,2.0,4.0,2,no,,,"✅ Trip Verified | San Diego to London. From the moment that I boarded this flight (due to take off at 19.25), the crew had one interest and one only - to get the cabin lights off, which they duly achieved two hours later. As a consequence, the service was negligent in the extreme. This was a Club World ticket - so expensive and I looked forward to a decent level of service. However, I wasn't offered champagne on boarding, wine with my meal or coffee and port after my meal. I complained to BA when I got home but they weren't interested and I was met with a barrage of corporate platitudes. This flight was a disappointing end to what had been a great trip to the US & Mexico and has left me with a very poor view of the airline."
Boeing 777,Business,Business Class,Gatwick to St Lucia,February 2019,4.0,4.0,4.0,3.0,3,yes,4.0,,"✅ Trip Verified |  Gatwick to St Lucia. Flew BA new revamped business class today and a huge improvement on the old set up. Well lit cabin, improved seating comfort, better and operational entertainment system (always hit or miss before) and decent food. Cabin crew worked hard and were pleasant. I have observed along with everyone else the falling standards at BA and have moved most of my travel to rival airlines but on the basis of today’s experience I will consider them in the future. Much improved, well done."
,Solo Leisure,Economy Class,London to Chennai,March 2018,5.0,5.0,5.0,5.0,5,yes,5.0,5.0,✅ Trip Verified |  London to Chennai. It was amazing. The crew were very friendly. The food was amazing and the seats were comfortable. T was overall an amazing flight and I enjoyed it thoroughly.
,Business,Economy Class,London to Tampa,January 2019,4.0,4.0,4.0,1.0,2,no,5.0,,"Not Verified |  London to Tampa. BA broke my suitcase and I did not make a fuss, I just got a new one. The new one was too large for the overhead bin on the return flight (the only suitcase I could purchase while abroad). So on top of the new suitcase, I had to actually pay BA to check the new bag. Cost me over $100 for their mistake. They also shovel off customer service to some company abroad. You will get an email a month later saying ""I'd like to know you that we are unable to offer refund"". Make a big fuss at the airport if they break your stuff so that you can avoid this black hole they call customer service.
"
Boeing 787,Couple Leisure,Economy Class,Baltimore to London Heathrow,February 2019,1.0,1.0,1.0,2.0,2,no,1.0,,"✅ Trip Verified |  My husband and I flew on British Airways flight BA-228 from Baltimore to London Heathrow leaving on the 12th February 2019. Every aspect of the flight was poorer than what budget airlines have to offer. The plane was shabby and dated. The seat reclining facility did not operate properly, was not that comfortable, and we had less legroom than the equivalent with budget airlines. The touch screen TV monitor was not working properly. One ear bud on the headphones did not work. The audio socket was too loose for the headphones so the plug kept falling out making it difficult to enjoy the in-flight entertainment (which in itself had a dated choice). The pillow was disgusting and kept falling out of the flimsy cover. The air conditioning lacked consistency alternating between very hot and very cold air. The restroom occupied sign always lit up as vacant even if it was occupied. However what made the flight very unpleasant was the bad attitude of the cabin crew. They were abrupt, unfriendly and quite clearly did not want to be there. There was one exception, an extremely pleasant older crew member who greeted us on and off the flight. There did not appear to be any organisation or smooth co-ordination when distributing the meals. Our two trays of food where placed on top of each other and practically thrown at us by a sour faced crew member. This flight was one hour late making us nervous about catching our connecting flight. There was no information or instructions given to us about connecting flight gate numbers before we landed. Unlike all the other airlines that I have travelled with there were no staff member greeting the connecting customers to point them in the right direction or re-assure them. British Airways would be my last choice of an airline to travel with and I would only fly with them again if there was no other option."
,Solo Leisure,First Class, Bridgetown to Gatwick,November 2018,2.0,4.0,3.0,3.0,1,no,3.0,1.0,"✅ Trip Verified |  Bridgetown to Gatwick. I couldn't imagine that first class on BA would be the same as travelling in business class with for example Qatar, Emirates, Etihad, Singapore, Thai etc for double the price. Cabin, seats and food equals business class. One of the red wines on the wine list was out from start when I left London outbound. Cabin crew worked well and gave splendid service. But first class on BA is not worth the fare. When I complained to customer service after I got home, all I got was they are in the process of upgrading world traveller. "
A320,Couple Leisure,Economy Class,London to Athens,December 2018,3.0,5.0,1.0,1.0,2,no,1.0,1.0,"✅ Trip Verified |  London to Athens. Classic BA love and hate relationship where one flight is perfect and another one is a total disaster. Problems in December 2018 at Heathrow check-in when BA check-in and baggage management IT systems went down for at least 90 minutes. Total chaos with people like myself arrived at the airport 2:30 hours before the flight and queuing while others arriving 45 minutes prior to their departure and given priority. Even though we were checked in at some point, the flight was delayed by 2+ hours on top of the problems. Then flight does not have enough food onboard. At least the crew clearly attempted to reduce flight time to the minimum."
,Solo Leisure,Economy Class,Amsterdam to London,February 2019,2.0,1.0,1.0,2.0,1,no,,,"✅ Trip Verified |  I booked a British Airways flight from Amsterdam to London Heathrow. In the beginning everything went normal and smooth. Check-in and boarding was easy and on time and once everyone boarded the problems started one after another. First an announcement was made by the pilot about a flight delay due to strong winds in Heathrow (fair enough). Afterwards the wind problem was resolved but a passenger decided to leave so they had to take out his luggage. After that we received a 3rd announcement stating there is a computer malfunction at Schiphol Airport and they are doing their best to resolve it. This caused us already about 45-60 mins delay but me and other passenger still remained calm and relaxed and then the hell started. We received permission to take off after 7 mins and then the pilot offered passengers who do not wish to travel to leave the plane. Of course there were many passengers who were travelling on business and I guess too delayed to make it on time for their meetings so they decided to leave. The crew warned them that this might cause terrible delay and problems for the other passengers but they still decided to leave. So a group of passengers left and we missed our opportunity to take off. Then the pilot announced that we can take off after 2,5 or 3 hours. The flight was full of overseas travellers. We spent 2 hours sitting in a plane which was not moving anywhere, people unboarded the plane 4 times in total and no food or water was offered to us. We had to line up next to the bathroom to purchase food and drinks and pay for it. The overall experience was terrible and it ruined the whole plan for my first day in London."
Boeing 787,Couple Leisure,Premium Economy,New Orleans to London,September 2018,5.0,4.0,5.0,4.0,5,yes,5.0,,"✅ Trip Verified |  Flying premium economy on British Airways from New Orleans to London was an absolute pleasure. The nine hour flight was an amazing experience, with great legroom, reclining seat for a nice sleep and low noise. Definitely recommend and will be flying premium on long haul again."
Boeing 787-9,Couple Leisure,Business Class,Tokyo Narita to London Heathrow,January 2019,4.0,3.0,5.0,5.0,4,yes,5.0,,"✅ Trip Verified |  Tokyo to London. I was looking forward to this flight because of the Club World ticket and because it was my first time flying on a Boeing 787. We had a good check-in experience, breezed through the airport and enjoyed the JAL Lounge at Narita. We boarded on time and first impressions of the Boeing 787 were good: a modern plane with nice mood lighting as we boarded. The food and wines were really good. I had a beautifully-presented Japanese starter followed by a bento-style lunch as a final reminder of the holiday and my wife chose the western options. There was plenty of choice on the IFE and there was a big screen. On the downside, the cabin was too hot which made it difficult to sleep on the flight. This was a problem that we encountered on our outbound journey too. The seat was comfortable and reclined fully but I find the layout of BA Club World a little awkward because you have to step over another passenger's footrest to access the aisle. The cabin crew were efficient but seemed a bit exhausted and could have been more friendly and welcoming. The context to this review is that we spoiled ourselves and flew in first class on the way to Tokyo. We had an amazing experience with such comfortable seats and exemplary service from the cabin crew. We both felt a bit disappointed with the return flight in comparison and felt there was room for improvement, but at the same time our expectations might have been too high because of the previous flight."
